geo,time,hpi
Austria,2015-Q1,98.19
Austria,2015-Q2,99.97
Austria,2015-Q3,101.23
Austria,2015-Q4,100.61
Austria,2016-Q1,104.04
Austria,2016-Q2,106.7
Austria,2016-Q3,108.08
Austria,2016-Q4,108.0
Austria,2017-Q1,109.76
Austria,2017-Q2,112.46
Austria,2017-Q3,113.67
Austria,2017-Q4,112.65
Austria,2018-Q1,115.13
Austria,2018-Q2,118.94
Austria,2018-Q3,120.1
Austria,2018-Q4,121.15
Austria,2019-Q1,121.53
Austria,2019-Q2,125.79
Austria,2019-Q3,127.81
Austria,2019-Q4,128.74
Austria,2020-Q1,131.26
Austria,2020-Q2,134.09
Austria,2020-Q3,138.0
Austria,2020-Q4,138.71
Austria,2021-Q1,144.08
Austria,2021-Q2,149.12
Austria,2021-Q3,153.52
Austria,2021-Q4,157.34
Austria,2022-Q1,164.63
Austria,2022-Q2,169.43
Austria,2022-Q3,173.59
Austria,2022-Q4,166.32
Austria,2023-Q1,164.35
Austria,2023-Q2,164.68
Austria,2023-Q3,164.29
Austria,2023-Q4,161.4
Austria,2024-Q1,159.54
Austria,2024-Q2,164.34
Austria,2024-Q3,165.13
Austria,2024-Q4,163.23
Austria,2025-Q1,165.17
Austria,2025-Q2,166.95
Austria,2025-Q3,169.64
Belgium,2015-Q1,97.94
Belgium,2015-Q2,99.13
Belgium,2015-Q3,101.49
Belgium,2015-Q4,101.43
Belgium,2016-Q1,100.37
Belgium,2016-Q2,101.42
Belgium,2016-Q3,103.63
Belgium,2016-Q4,103.9
Belgium,2017-Q1,104.36
Belgium,2017-Q2,104.48
Belgium,2017-Q3,107.81
Belgium,2017-Q4,107.14
Belgium,2018-Q1,107.37
Belgium,2018-Q2,108.51
Belgium,2018-Q3,110.64
Belgium,2018-Q4,110.06
Belgium,2019-Q1,111.0
Belgium,2019-Q2,111.84
Belgium,2019-Q3,115.37
Belgium,2019-Q4,114.72
Belgium,2020-Q1,115.24
Belgium,2020-Q2,116.61
Belgium,2020-Q3,119.05
Belgium,2020-Q4,121.45
Belgium,2021-Q1,122.41
Belgium,2021-Q2,124.78
Belgium,2021-Q3,128.04
Belgium,2021-Q4,128.62
Belgium,2022-Q1,130.02
Belgium,2022-Q2,132.18
Belgium,2022-Q3,134.96
Belgium,2022-Q4,134.55
Belgium,2023-Q1,135.04
Belgium,2023-Q2,134.55
Belgium,2023-Q3,136.31
Belgium,2023-Q4,138.28
Belgium,2024-Q1,139.36
Belgium,2024-Q2,138.96
Belgium,2024-Q3,141.16
Belgium,2024-Q4,142.18
Belgium,2025-Q1,143.08
Belgium,2025-Q2,142.94
Belgium,2025-Q3,146.39
Bulgaria,2015-Q1,98.85
Bulgaria,2015-Q2,99.71
Bulgaria,2015-Q3,99.21
Bulgaria,2015-Q4,102.23
Bulgaria,2016-Q1,103.38
Bulgaria,2016-Q2,106.24
Bulgaria,2016-Q3,107.94
Bulgaria,2016-Q4,110.52
Bulgaria,2017-Q1,112.66
Bulgaria,2017-Q2,115.37
Bulgaria,2017-Q3,117.62
Bulgaria,2017-Q4,119.53
Bulgaria,2018-Q1,120.65
Bulgaria,2018-Q2,124.03
Bulgaria,2018-Q3,124.99
Bulgaria,2018-Q4,126.15
Bulgaria,2019-Q1,129.45
Bulgaria,2019-Q2,130.26
Bulgaria,2019-Q3,131.97
Bulgaria,2019-Q4,133.99
Bulgaria,2020-Q1,135.54
Bulgaria,2020-Q2,134.07
Bulgaria,2020-Q3,138.81
Bulgaria,2020-Q4,141.23
Bulgaria,2021-Q1,145.72
Bulgaria,2021-Q2,146.23
Bulgaria,2021-Q3,150.9
Bulgaria,2021-Q4,154.48
Bulgaria,2022-Q1,162.52
Bulgaria,2022-Q2,167.58
Bulgaria,2022-Q3,174.43
Bulgaria,2022-Q4,175.14
Bulgaria,2023-Q1,177.93
Bulgaria,2023-Q2,185.5
Bulgaria,2023-Q3,190.48
Bulgaria,2023-Q4,192.78
Bulgaria,2024-Q1,206.42
Bulgaria,2024-Q2,213.53
Bulgaria,2024-Q3,221.91
Bulgaria,2024-Q4,228.0
Bulgaria,2025-Q1,237.55
Bulgaria,2025-Q2,246.65
Bulgaria,2025-Q3,256.01
Cyprus,2015-Q1,97.52
Cyprus,2015-Q2,100.59
Cyprus,2015-Q3,102.49
Cyprus,2015-Q4,99.4
Cyprus,2016-Q1,96.27
Cyprus,2016-Q2,96.59
Cyprus,2016-Q3,101.84
Cyprus,2016-Q4,104.59
Cyprus,2017-Q1,100.02
Cyprus,2017-Q2,106.32
Cyprus,2017-Q3,106.5
Cyprus,2017-Q4,105.08
Cyprus,2018-Q1,102.43
Cyprus,2018-Q2,100.34
Cyprus,2018-Q3,105.05
Cyprus,2018-Q4,104.51
Cyprus,2019-Q1,110.15
Cyprus,2019-Q2,115.86
Cyprus,2019-Q3,110.85
Cyprus,2019-Q4,109.95
Cyprus,2020-Q1,115.55
Cyprus,2020-Q2,118.83
Cyprus,2020-Q3,115.51
Cyprus,2020-Q4,120.06
Cyprus,2021-Q1,110.02
Cyprus,2021-Q2,116.01
Cyprus,2021-Q3,120.59
Cyprus,2021-Q4,116.19
Cyprus,2022-Q1,117.59
Cyprus,2022-Q2,120.21
Cyprus,2022-Q3,130.94
Cyprus,2022-Q4,124.14
Cyprus,2023-Q1,131.69
Cyprus,2023-Q2,132.2
Cyprus,2023-Q3,136.52
Cyprus,2023-Q4,137.98
Cyprus,2024-Q1,143.52
Cyprus,2024-Q2,143.34
Cyprus,2024-Q3,146.76
Cyprus,2024-Q4,144.2
Cyprus,2025-Q1,150.04
Cyprus,2025-Q2,147.24
Cyprus,2025-Q3,146.86
Czechia,2015-Q1,98.3
Czechia,2015-Q2,99.4
Czechia,2015-Q3,100.6
Czechia,2015-Q4,101.7
Czechia,2016-Q1,103.0
Czechia,2016-Q2,105.1
Czechia,2016-Q3,107.7
Czechia,2016-Q4,112.8
Czechia,2017-Q1,116.2
Czechia,2017-Q2,119.1
Czechia,2017-Q3,121.2
Czechia,2017-Q4,122.3
Czechia,2018-Q1,125.0
Czechia,2018-Q2,128.7
Czechia,2018-Q3,131.9
Czechia,2018-Q4,134.4
Czechia,2019-Q1,137.2
Czechia,2019-Q2,140.6
Czechia,2019-Q3,143.4
Czechia,2019-Q4,146.4
Czechia,2020-Q1,149.0
Czechia,2020-Q2,151.5
Czechia,2020-Q3,155.4
Czechia,2020-Q4,159.5
Czechia,2021-Q1,168.9
Czechia,2021-Q2,177.6
Czechia,2021-Q3,189.8
Czechia,2021-Q4,200.6
Czechia,2022-Q1,210.0
Czechia,2022-Q2,217.2
Czechia,2022-Q3,219.4
Czechia,2022-Q4,214.5
Czechia,2023-Q1,211.8
Czechia,2023-Q2,211.0
Czechia,2023-Q3,211.7
Czechia,2023-Q4,212.3
Czechia,2024-Q1,214.3
Czechia,2024-Q2,219.9
Czechia,2024-Q3,224.7
Czechia,2024-Q4,230.2
Czechia,2025-Q1,235.6
Czechia,2025-Q2,243.0
Czechia,2025-Q3,249.0
Germany,2015-Q1,97.8
Germany,2015-Q2,99.9
Germany,2015-Q3,100.4
Germany,2015-Q4,101.8
Germany,2016-Q1,103.9
Germany,2016-Q2,106.9
Germany,2016-Q3,108.8
Germany,2016-Q4,110.4
Germany,2017-Q1,110.9
Germany,2017-Q2,113.1
Germany,2017-Q3,115.0
Germany,2017-Q4,117.3
Germany,2018-Q1,118.3
Germany,2018-Q2,120.6
Germany,2018-Q3,123.1
Germany,2018-Q4,124.6
Germany,2019-Q1,124.6
Germany,2019-Q2,127.8
Germany,2019-Q3,129.6
Germany,2019-Q4,132.7
Germany,2020-Q1,133.8
Germany,2020-Q2,136.2
Germany,2020-Q3,140.3
Germany,2020-Q4,144.3
Germany,2021-Q1,146.3
Germany,2021-Q2,151.8
Germany,2021-Q3,158.2
Germany,2021-Q4,162.5
Germany,2022-Q1,164.1
Germany,2022-Q2,167.4
Germany,2022-Q3,166.3
Germany,2022-Q4,158.5
Germany,2023-Q1,153.7
Germany,2023-Q2,151.6
Germany,2023-Q3,149.3
Germany,2023-Q4,146.4
Germany,2024-Q1,145.8
Germany,2024-Q2,147.8
Germany,2024-Q3,149.0
Germany,2024-Q4,149.2
Germany,2025-Q1,150.9
Germany,2025-Q2,152.4
Germany,2025-Q3,153.9
Denmark,2015-Q1,94.51
Denmark,2015-Q2,100.15
Denmark,2015-Q3,102.58
Denmark,2015-Q4,102.75
Denmark,2016-Q1,99.31
Denmark,2016-Q2,104.23
Denmark,2016-Q3,107.66
Denmark,2016-Q4,107.07
Denmark,2017-Q1,105.3
Denmark,2017-Q2,109.77
Denmark,2017-Q3,112.32
Denmark,2017-Q4,111.61
Denmark,2018-Q1,111.6
Denmark,2018-Q2,115.88
Denmark,2018-Q3,116.13
Denmark,2018-Q4,114.74
Denmark,2019-Q1,114.86
Denmark,2019-Q2,117.45
Denmark,2019-Q3,118.72
Denmark,2019-Q4,117.5
Denmark,2020-Q1,118.28
Denmark,2020-Q2,120.79
Denmark,2020-Q3,123.65
Denmark,2020-Q4,125.98
Denmark,2021-Q1,129.02
Denmark,2021-Q2,136.23
Denmark,2021-Q3,139.81
Denmark,2021-Q4,140.05
Denmark,2022-Q1,141.45
Denmark,2022-Q2,143.96
Denmark,2022-Q3,144.39
Denmark,2022-Q4,140.99
Denmark,2023-Q1,135.13
Denmark,2023-Q2,135.67
Denmark,2023-Q3,138.07
Denmark,2023-Q4,140.26
Denmark,2024-Q1,136.66
Denmark,2024-Q2,140.94
Denmark,2024-Q3,145.27
Denmark,2024-Q4,145.57
Denmark,2025-Q1,148.72
Denmark,2025-Q2,151.4
Denmark,2025-Q3,155.15
Estonia,2015-Q1,98.31
Estonia,2015-Q2,101.6
Estonia,2015-Q3,99.63
Estonia,2015-Q4,100.46
Estonia,2016-Q1,100.32
Estonia,2016-Q2,103.47
Estonia,2016-Q3,106.98
Estonia,2016-Q4,108.21
Estonia,2017-Q1,108.08
Estonia,2017-Q2,108.42
Estonia,2017-Q3,112.06
Estonia,2017-Q4,113.49
Estonia,2018-Q1,115.17
Estonia,2018-Q2,116.43
Estonia,2018-Q3,116.71
Estonia,2018-Q4,119.96
Estonia,2019-Q1,121.99
Estonia,2019-Q2,123.14
Estonia,2019-Q3,126.16
Estonia,2019-Q4,129.79
Estonia,2020-Q1,135.98
Estonia,2020-Q2,128.1
Estonia,2020-Q3,131.08
Estonia,2020-Q4,136.01
Estonia,2021-Q1,144.93
Estonia,2021-Q2,148.69
Estonia,2021-Q3,153.71
Estonia,2021-Q4,163.78
Estonia,2022-Q1,175.37
Estonia,2022-Q2,189.36
Estonia,2022-Q3,190.94
Estonia,2022-Q4,191.38
Estonia,2023-Q1,191.43
Estonia,2023-Q2,198.79
Estonia,2023-Q3,198.26
Estonia,2023-Q4,202.4
Estonia,2024-Q1,206.38
Estonia,2024-Q2,212.1
Estonia,2024-Q3,211.03
Estonia,2024-Q4,209.64
Estonia,2025-Q1,215.9
Estonia,2025-Q2,223.74
Estonia,2025-Q3,221.98
Spain,2015-Q1,96.67
Spain,2015-Q2,100.67
Spain,2015-Q3,101.34
Spain,2015-Q4,101.31
Spain,2016-Q1,102.74
Spain,2016-Q2,104.55
Spain,2016-Q3,105.41
Spain,2016-Q4,105.78
Spain,2017-Q1,108.2
Spain,2017-Q2,110.39
Spain,2017-Q3,112.43
Spain,2017-Q4,113.39
Spain,2018-Q1,114.96
Spain,2018-Q2,117.9
Spain,2018-Q3,120.48
Spain,2018-Q4,120.97
Spain,2019-Q1,122.88
Spain,2019-Q2,124.27
Spain,2019-Q3,126.26
Spain,2019-Q4,125.44
Spain,2020-Q1,126.92
Spain,2020-Q2,126.98
Spain,2020-Q3,128.56
Spain,2020-Q4,127.55
Spain,2021-Q1,128.12
Spain,2021-Q2,131.15
Spain,2021-Q3,133.92
Spain,2021-Q4,135.58
Spain,2022-Q1,139.05
Spain,2022-Q2,141.71
Spain,2022-Q3,144.15
Spain,2022-Q4,142.99
Spain,2023-Q1,143.98
Spain,2023-Q2,146.97
Spain,2023-Q3,150.68
Spain,2023-Q4,149.13
